/apple2/Edu Comp [WOZ]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Compilations/Educational/%5BWOZ%5D/Apple%20II%20-%20Compilations%20-%20Educational%20-%20%5BWOZ%5D%20%28TOSEC-v2024-01-15%29.zip/
/apple2/Demo [AIF]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Demos/%5BAIF%5D/Apple%20II%20-%20Demos%20-%20%5BAIF%5D%20%28TOSEC-v2023-06-14%29.zip/
/apple2/Demo [DSK]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Demos/%5BDSK%5D/Apple%20II%20-%20Demos%20-%20%5BDSK%5D%20%28TOSEC-v2025-01-15%29.zip/
/apple2/Demo [NIB]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Demos/%5BNIB%5D/Apple%20II%20-%20Demos%20-%20%5BNIB%5D%20%28TOSEC-v2024-07-03%29.zip/
/apple2/Demo [PO]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Demos/%5BPO%5D/Apple%20II%20-%20Demos%20-%20%5BPO%5D%20%28TOSEC-v2024-07-03%29.zip/
/apple2/Demo [WAV]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Demos/%5BWAV%5D/Apple%20II%20-%20Demos%20-%20%5BWAV%5D%20%28TOSEC-v2023-06-14%29.zip/
/apple2/Demo [WOZ]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Demos/%5BWOZ%5D/Apple%20II%20-%20Demos%20-%20%5BWOZ%5D%20%28TOSEC-v2024-07-03%29.zip/
/apple2/Edu [2MG]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Educational/%5B2MG%5D/Apple%20II%20-%20Educational%20-%20%5B2MG%5D%20%28TOSEC-v2024-01-15%29.zip/
/apple2/Edu [A2R]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Educational/%5BA2R%5D/Apple%20II%20-%20Educational%20-%20%5BA2R%5D%20%28TOSEC-v2025-01-15%29.zip/
/apple2/Edu [DSK]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Educational/%5BDSK%5D/Apple%20II%20-%20Educational%20-%20%5BDSK%5D%20%28TOSEC-v2025-01-15%29.zip/
/apple2/Edu [EDD]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Educational/%5BEDD%5D/Apple%20II%20-%20Educational%20-%20%5BEDD%5D%20%28TOSEC-v2024-07-03%29.zip/
/apple2/Edu [NIB]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Educational/%5BNIB%5D/Apple%20II%20-%20Educational%20-%20%5BNIB%5D%20%28TOSEC-v2023-08-29%29.zip/
/apple2/Edu [WAV]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Educational/%5BWAV%5D/Apple%20II%20-%20Educational%20-%20%5BWAV%5D%20%28TOSEC-v2023-10-03%29.zip/
/apple2/Edu [WOZ]/	mame_libretro apple2ee -flop1		https://archive.org/download/tosec-main/Apple/II/Educational/%5BWOZ%5D/Apple%20II%20-%20Educational%20-%20%5BWOZ%5D%20%28TOSEC-v2025-01-15%29.zip/
/apple2/Cracked MAME/	mame_libretro apple2ee -flop1		https://archive.org/download/mame-sl/mame-sl/apple2_flop_clcracked.zip/apple2_flop_clcracked/
/apple2/Misc MAME/	mame_libretro apple2ee -flop1		https://archive.org/download/mame-sl/mame-sl/apple2_flop_misc.zip/apple2_flop_misc/
/apple2/Orig MAME/	mame_libretro apple2ee -flop1		https://archive.org/download/mame-sl/mame-sl/apple2_flop_orig.zip/apple2_flop_orig/
/apple2/Cass MAME/	mame_libretro apple2ee -cass		https://archive.org/download/mame-sl/mame-sl/apple2_cass.zip/apple2_cass/
/apple2gs/2MG/	mame_libretro apple2gs -flop3		https://archive.org/download/tosec-main/Apple/IIGS/Compilations/Games/Apple%20IIGS%20-%20Compilations%20-%20Games%20%28TOSEC-v2023-06-14%29.zip/
/apple2gs/Edu/	mame_libretro apple2gs -flop3		https://archive.org/download/tosec-main/Apple/IIGS/Educational/%5B2MG%5D/Apple%20IIGS%20-%20Educational%20-%20%5B2MG%5D%20%28TOSEC-v2024-01-15%29.zip/
